timestamp,document_no,vendor_no,vendor_invoice_no,status,error
2025-05-19T15:50:59.300329,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160455.pdf,X,No QR code found
2025-05-19T15:50:59.588188,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160513.pdf,X,No QR code found
2025-05-19T15:50:59.869546,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160535.pdf,X,No QR code found
2025-05-19T15:51:10.321606,,,CONTRATO 0-014 DELL TECHNOLOGIES.pdf,X,No QR code found
2025-05-19T15:51:19.060610,,FT FAR.2025/8,,Y,Invalid vendor
2025-05-19T15:51:19.060610,,FT D33-D/10971,,Y,Invalid vendor
2025-05-19T15:51:19.061629,,FT FA.2025A/5043,,Y,Invalid vendor
2025-05-19T15:51:19.061629,,FT FA.2025/2507,,Y,Invalid vendor
2025-05-19T15:52:16.654070,FCA25000629,FN0000167,FT 150/000728,P,
2025-05-19T15:55:17.299072,,,FR - Mai25 - Antas da Cunha.pdf,X,No QR code found
2025-05-19T15:55:27.082079,,,Skillsworkflow 108.pdf,X,No QR code found
2025-05-19T15:55:29.490516,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160157.pdf,X,No QR code found
2025-05-19T15:55:29.756008,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160368.pdf,X,No QR code found
2025-05-19T15:55:30.023837,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160432.pdf,X,No QR code found
2025-05-19T15:55:30.287163,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160455.pdf,X,No QR code found
2025-05-19T15:55:30.558663,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160513.pdf,X,No QR code found
2025-05-19T15:55:30.897273,,,10009Invoices_20250502224750_203906454_Invoices_202505022247_3160535.pdf,X,No QR code found
2025-05-19T15:55:40.985660,,,CONTRATO 0-014 DELL TECHNOLOGIES.pdf,X,No QR code found
2025-05-19T15:55:49.852677,,FT FAR.2025/8,FAR 8_ADCECIJA_Antas da Cunha Ecija.pdf,Y,Invalid vendor
2025-05-19T15:55:49.853683,,FT D33-D/10971,FATURA N. 10971.pdf,Y,Invalid vendor
2025-05-19T15:55:49.854689,,FT FA.2025A/5043,515673471FA2025A5043.pdf,Y,Invalid vendor
2025-05-19T15:55:49.854689,,FT FA.2025/2507,FA20252507.pdf,Y,Invalid vendor
2025-05-19T15:57:02.763309,FCA25000630,FN0000167,FT 150/000716,P,
2025-05-19T15:58:05.694393,FCA25000630,FN0000167,FT 150/000716,P,
2025-05-19T15:58:05.855692,FCA25000631,FN0000013,AIE APXIE025/02392931,P,
2025-05-19T15:59:58.397409,FCA25000631,FN0000013,AIE APXIE025/02392931,P,
2025-05-19T15:59:58.508238,FCA25000631,FN0000013,AIE APXIE025/02392931,P,
2025-05-19T15:59:58.640309,FCA25000632,FN0000013,AIE APXIE025/02392933,P,
2025-05-19T16:00:54.972613,FCA25000632,FN0000013,AIE APXIE025/02392933,P,
2025-05-19T16:00:55.098213,FCA25000632,FN0000013,AIE APXIE025/02392933,P,
2025-05-19T16:00:55.454830,FCA25000633,FN0000415,FA 1A2502/529,P,
2025-05-19T16:01:58.905850,FCA25000633,FN0000415,FA 1A2502/529,P,
2025-05-19T16:01:59.013295,FCA25000634,FN0000948,FT 2025A1/248,P,
2025-05-19T16:03:29.586712,FCA25000634,FN0000948,FT 2025A1/248,P,
2025-05-19T16:03:29.694248,FCA25000635,FN0000090,FT FA.2025/1041,P,
2025-05-19T16:04:36.200784,FCA25000635,FN0000090,FT FA.2025/1041,P,
2025-05-19T16:04:36.370657,FCA25000636,FN0000800,FA FA2025/31,P,
2025-05-19T16:05:35.166348,FCA25000636,FN0000800,FA FA2025/31,P,
2025-05-19T16:05:35.317652,FCA25000637,FN0000057,FRD FRD25G1460/578130,P,
2025-05-19T16:06:35.313663,FCA25000637,FN0000057,FRD FRD25G1460/578130,P,
2025-05-19T16:06:35.491442,FCA25000638,FN0000490,FR Q25/0832437,P,
2025-05-19T16:07:31.702617,FCA25000638,FN0000490,FR Q25/0832437,P,
2025-05-19T16:07:31.818540,FCA25000639,FN0000949,FT 110003179/003045,P,
2025-05-19T16:08:30.052325,FCA25000639,FN0000949,FT 110003179/003045,P,
2025-05-19T16:08:30.178493,FCA25000640,FN0000039,FT 100006700/052647,P,
2025-05-19T16:09:26.894747,FCA25000640,FN0000039,FT 100006700/052647,P,
2025-05-19T16:09:27.057538,FCA25000641,FN0000039,FT 100006700/058682,P,
2025-05-19T16:10:25.675576,FCA25000641,FN0000039,FT 100006700/058682,P,
2025-05-19T16:10:25.809016,FCA25000642,FN0000039,FT 100006700/061127,P,
2025-05-19T16:11:22.568276,FCA25000642,FN0000039,FT 100006700/061127,P,
2025-05-19T16:11:22.695549,FCA25000643,FN0000949,FT 110003198/000890,P,
2025-05-19T16:12:23.499941,FCA25000643,FN0000949,FT 110003198/000890,P,
2025-05-19T16:12:23.627590,FCA25000644,FN0000949,FT 110003198/000891,P,
2025-05-19T16:13:23.321550,FCA25000644,FN0000949,FT 110003198/000891,P,
